t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz
0.0005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.0505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.1008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.1508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.2008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.2508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.3008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.3508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.4008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.4508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.5009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.5509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.6009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.6509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.7009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.7509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.8009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.8509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.9009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.9509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
3.0009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
