t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz,act_vx,act_vy,act_vz,act_wz
0.0015,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0524,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1033,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1535,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2039,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2545,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3052,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3553,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4056,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4560,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.5061,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.5562,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6064,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6572,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.7078,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.7581,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.8085,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.8588,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.9097,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.9599,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.0106,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.0611,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.1116,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.1627,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.2136,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.2640,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.3146,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.3651,0.0086,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.4153,0.0514,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.4655,0.0543,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5161,0.0086,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5663,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.6172,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.6682,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.7186,0.0543,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.7688,0.1486,0.0000,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.00742,0.00000,0.00000,0.00000
1.8197,0.3371,0.0000,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
1.8699,0.4771,0.0000,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
1.9201,0.5886,0.0171,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
1.9711,0.7086,0.0314,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.0220,0.7571,0.0543,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.0724,0.7800,0.0629,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.1232,0.8057,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.1737,0.8171,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.2246,0.8286,0.0657,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.2754,0.8371,0.0714,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.3255,0.8514,0.0743,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.3756,0.8657,0.0771,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.4264,0.8743,0.0743,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.4772,0.8743,0.0657,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.5282,0.8800,0.0571,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.5790,0.8886,0.0600,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.6294,0.9029,0.0629,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.6802,0.9114,0.0600,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.7303,0.9229,0.0657,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.7812,0.9457,0.0657,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.8320,0.9714,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.8821,0.9857,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.9322,1.0000,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
2.9832,1.0000,0.0714,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
3.0339,1.0000,0.0714,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
3.0849,1.0000,0.0714,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
3.1354,1.0000,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
3.1854,1.0000,0.0686,0.0000,0,0.03000,0.00000,0.00000,0.00000,0.03000,0.00000,0.00000,0.00000
